,Regio,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,latitude,longitude
0,'s-Graveland,127290.0,137575.0,154160.0,184666.0,255213.0,234015.0,274958.0,,,,,,,,,,,,,,,,,,,,,52.238404,5.1214997
1,'s-Gravendeel,84544.0,98312.0,108148.0,115838.0,125787.0,160608.0,177107.0,195385.0,196191.0,192700.0,201571.0,217350.0,,,,,,,,,,,,,,,,51.7806608,4.6198749
3,'s-Gravenmoer,107106.0,120953.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.6578881,4.9407124
4,'s-Gravenzande,111998.0,124318.0,145449.0,144322.0,151355.0,189951.0,218980.0,218175.0,232864.0,,,,,,,,,,,,,,,,,,,52.0028294,4.1603759
5,'s-Hertogenbosch,100092.0,116155.0,125070.0,140477.0,161490.0,191688.0,218143.0,230251.0,236856.0,240688.0,246806.0,270982.0,273812.0,277835.0,262102.0,261128.0,265653.0,247091.0,221045.0,232591.0,253262.0,266306.0,288878.0,314713.0,333172.0,371124.0,412222.0,51.6889387,5.303116
6,Aa en Hunze,,,,130136.0,159338.0,182830.0,216452.0,210945.0,205222.0,222208.0,231917.0,244657.0,265383.0,269367.0,227898.0,230392.0,236209.0,219111.0,213176.0,213509.0,241481.0,227275.0,241866.0,258980.0,284794.0,303789.0,393780.0,52.9814393,6.729452061777957
8,Aalsmeer,115081.0,126116.0,136515.0,150441.0,201630.0,213742.0,251666.0,257608.0,282494.0,261497.0,286247.0,306764.0,330582.0,304057.0,302299.0,305355.0,314737.0,265452.0,288004.0,271638.0,277057.0,332572.0,375983.0,406960.0,409304.0,438060.0,538786.0,52.2658344,4.766170039669312
9,Aalten,90191.0,105185.0,96758.0,119551.0,114640.0,153334.0,147145.0,169135.0,167115.0,172198.0,187662.0,193997.0,200628.0,193222.0,193284.0,187353.0,189290.0,176637.0,159498.0,175272.0,168032.0,192007.0,206497.0,210100.0,226080.0,261776.0,306386.0,51.914181850000006,6.577398580283228
10,Aarle-Rixtel,118892.0,110107.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5093107,5.6375541
11,Abcoude,174475.0,161604.0,205076.0,202595.0,284734.0,348015.0,370588.0,399958.0,351704.0,366841.0,424482.0,449208.0,518993.0,520749.0,454085.0,483105.0,,,,,,,,,,,,52.270281,4.9710427
12,Achtkarspelen,61727.0,73472.0,80563.0,95810.0,109922.0,133915.0,153585.0,153570.0,159611.0,176705.0,182002.0,201098.0,199191.0,214001.0,183043.0,188733.0,188124.0,178073.0,152525.0,155891.0,174264.0,179055.0,184383.0,211426.0,216483.0,241065.0,295024.0,53.207516749999996,6.150763705175438
13,Akersloot,125204.0,131277.0,137146.0,146720.0,171308.0,219702.0,273854.0,,,,,,,,,,,,,,,,,,,,,52.5599095,4.7320342
14,Alblasserdam,76663.0,97615.0,102416.0,110649.0,133865.0,146283.0,172244.0,182776.0,197255.0,204159.0,203787.0,209694.0,225699.0,226449.0,221303.0,229507.0,223250.0,212680.0,190876.0,204392.0,210548.0,213289.0,233036.0,263854.0,268447.0,292610.0,332755.0,51.8599524,4.666202275442476
15,Albrandswaard,116676.0,130390.0,150102.0,147784.0,156265.0,184493.0,242446.0,241545.0,245383.0,253426.0,273306.0,303935.0,291251.0,300151.0,289387.0,283348.0,266889.0,287149.0,246855.0,264735.0,267026.0,290565.0,326356.0,351955.0,361942.0,375789.0,452849.0,51.8524269,4.435285362646326
16,Alkemade,118817.0,140387.0,154551.0,175018.0,185251.0,234687.0,254388.0,277450.0,291477.0,240027.0,239278.0,318351.0,271451.0,320959.0,,,,,,,,,,,,,,52.109669600000004,4.379998515079571
17,Alkmaar,84638.0,91749.0,101826.0,111290.0,128127.0,141369.0,158305.0,178507.0,181514.0,185798.0,190238.0,203969.0,214349.0,219564.0,210024.0,211926.0,206264.0,201883.0,187931.0,195094.0,194809.0,214497.0,238071.0,262519.0,286883.0,313937.0,365446.0,52.600853799999996,4.817099446443963
18,Almelo,72108.0,75984.0,82409.0,90416.0,100990.0,120928.0,137626.0,148314.0,149677.0,155412.0,163863.0,174661.0,178376.0,172286.0,171564.0,172505.0,170489.0,171217.0,152775.0,164312.0,157127.0,169101.0,177040.0,191387.0,209973.0,222697.0,273244.0,52.3567956,6.66725277634109
19,Almere,92546.0,102638.0,108957.0,112179.0,134684.0,157145.0,170565.0,188560.0,197749.0,196465.0,197747.0,208941.0,215482.0,223489.0,209689.0,205853.0,205127.0,192040.0,180357.0,188513.0,194953.0,206317.0,240518.0,272616.0,294284.0,330079.0,390714.0,52.3657098,5.2210432
20,Alphen aan den Rijn,100965.0,112026.0,116687.0,125996.0,146359.0,181567.0,198489.0,203049.0,215776.0,213741.0,223145.0,236262.0,234586.0,248638.0,187425.0,193252.0,211847.0,198369.0,214234.0,224102.0,210948.0,223430.0,246886.0,269286.0,286500.0,320239.0,360031.0,52.1131403,4.6408411999450685
22,Alphen-Chaam,,,143765.0,176845.0,212194.0,279094.0,263608.0,270206.0,304739.0,300297.0,291493.0,355564.0,365341.0,326592.0,332111.0,297254.0,292151.0,277341.0,279286.0,276898.0,299679.0,291149.0,315979.0,345480.0,347848.0,390439.0,466144.0,51.50689565,4.871359861218567
24,Ambt Delden,97156.0,127351.0,141375.0,148104.0,135718.0,208892.0,,,,,,,,,,,,,,,,,,,,,,52.261554450000006,6.638697580165797
25,Ambt Montfort,97791.0,110575.0,115704.0,136267.0,140353.0,169937.0,170463.0,185087.0,185826.0,188546.0,186751.0,186527.0,,,,,,,,,,,,,,,,51.1297062,5.9424104
26,Ameland,88893.0,74560.0,91752.0,108159.0,118170.0,161227.0,135235.0,159701.0,159645.0,174771.0,206699.0,190249.0,207912.0,210325.0,198673.0,207460.0,204085.0,181521.0,215026.0,198338.0,178284.0,252680.0,251805.0,259821.0,321196.0,346924.0,345157.0,53.4472273,5.739163204835004
27,Amerongen,126682.0,156784.0,169643.0,191675.0,185992.0,265472.0,258365.0,325381.0,303030.0,266476.0,349557.0,,,,,,,,,,,,,,,,,52.000487,5.4600535
28,Amersfoort,107823.0,117857.0,129387.0,143880.0,166995.0,198085.0,217625.0,224999.0,223620.0,233132.0,240428.0,249382.0,258568.0,274327.0,255681.0,269044.0,261404.0,245953.0,233493.0,243723.0,240857.0,262805.0,296863.0,340318.0,358651.0,379129.0,416892.0,52.1562499,5.3896944
29,Ammerzoden,105235.0,116663.0,122112.0,123562.0,,,,,,,,,,,,,,,,,,,,,,,,51.7488717,5.2251819
30,Amstelveen,110371.0,120575.0,138260.0,160015.0,199951.0,244012.0,264902.0,270571.0,264715.0,274697.0,286003.0,295680.0,318682.0,337305.0,308892.0,312791.0,318466.0,306621.0,280407.0,305619.0,331763.0,363088.0,420478.0,474669.0,525247.0,534717.0,625658.0,52.3025582,4.8467875
31,Amsterdam,98008.0,110420.0,126024.0,151254.0,189227.0,224938.0,247082.0,251413.0,231768.0,227679.0,238189.0,257215.0,285587.0,305206.0,280670.0,281206.0,284668.0,270507.0,256308.0,272438.0,303925.0,358976.0,407670.0,460751.0,484995.0,510919.0,569890.0,52.3727598,4.8936041
32,Andijk,94136.0,96752.0,101988.0,104506.0,149228.0,163622.0,206760.0,229583.0,190488.0,197203.0,219840.0,209838.0,244555.0,246431.0,197245.0,223475.0,,,,,,,,,,,,52.7454064,5.2218881
33,Angerlo,93485.0,120437.0,136359.0,132375.0,160114.0,187234.0,226368.0,252250.0,186298.0,232725.0,,,,,,,,,,,,,,,,,,51.995328,6.137023
34,Anloo,103300.0,116129.0,103194.0,,,,,,,,,,,,,,,,,,,,,,,,,53.0426144,6.6986528
35,Anna Paulowna,85235.0,93961.0,113344.0,124096.0,145181.0,174154.0,186422.0,192936.0,207238.0,207360.0,228171.0,225820.0,227336.0,250308.0,217520.0,199918.0,214838.0,,,,,,,,,,,52.860219,4.8245885
36,Apeldoorn,100024.0,109968.0,122534.0,136409.0,156702.0,192227.0,210654.0,213442.0,220285.0,230944.0,243423.0,254550.0,263858.0,260812.0,238914.0,239224.0,243583.0,230535.0,204898.0,214203.0,219569.0,227978.0,252463.0,275434.0,287155.0,316006.0,379364.0,52.17957375,5.930077460807249
37,Appingedam,63239.0,63839.0,75184.0,77023.0,80202.0,93688.0,112452.0,126843.0,141034.0,153787.0,162537.0,150387.0,161195.0,179629.0,159694.0,167311.0,171155.0,151738.0,141286.0,146861.0,146925.0,164504.0,174924.0,192439.0,194795.0,204754.0,,53.3203563,6.8577654
38,Arcen en Velden,119162.0,112834.0,141654.0,151948.0,164240.0,188990.0,183610.0,195137.0,231565.0,220243.0,227055.0,236324.0,240021.0,274057.0,198916.0,,,,,,,,,,,,,52.0429972,4.395336
39,Arnemuiden,65405.0,79146.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5000009,3.6762457
40,Arnhem,80240.0,87221.0,97326.0,111416.0,129059.0,149386.0,164376.0,172213.0,179682.0,186810.0,188779.0,196732.0,203549.0,219351.0,200876.0,204498.0,212747.0,205702.0,189517.0,190551.0,199528.0,205816.0,221424.0,249290.0,260635.0,279571.0,344738.0,51.984257,5.9108573
41,Assen,75013.0,81232.0,80947.0,88505.0,102768.0,120177.0,131365.0,145777.0,149765.0,159401.0,168939.0,180645.0,184287.0,186792.0,184050.0,186206.0,182993.0,182530.0,172090.0,175497.0,183838.0,190911.0,199135.0,213612.0,228658.0,250572.0,301082.0,52.9952273,6.560498
42,Asten,99123.0,125457.0,146036.0,154023.0,172245.0,205914.0,212491.0,238882.0,251999.0,244880.0,282994.0,263722.0,298471.0,337319.0,298684.0,292281.0,293181.0,245317.0,249721.0,247823.0,264697.0,268162.0,292594.0,290117.0,334156.0,342335.0,379682.0,51.3869026,5.791446670449439
43,Avereest,87413.0,91155.0,97384.0,120960.0,146467.0,167291.0,,,,,,,,,,,,,,,,,,,,,,52.6218698,6.3675307
44,Axel,63721.0,70599.0,81871.0,71074.0,79250.0,91784.0,111502.0,122890.0,,,,,,,,,,,,,,,,,,,,51.2673945,3.9071593
45,Baarle-Nassau,118689.0,124574.0,190352.0,160552.0,170309.0,205439.0,244477.0,273442.0,231338.0,256334.0,299513.0,265515.0,265121.0,296111.0,273334.0,268023.0,292993.0,263403.0,242549.0,251776.0,254242.0,266280.0,274709.0,299212.0,334058.0,314453.0,366251.0,51.4441976,4.9317413
46,Baarn,129014.0,149900.0,157594.0,172499.0,207130.0,273732.0,301252.0,314631.0,269230.0,307780.0,329046.0,354084.0,376584.0,352729.0,345492.0,339479.0,356297.0,308279.0,332346.0,321127.0,297817.0,348588.0,364285.0,384315.0,431161.0,473873.0,529145.0,52.2002549,5.269143393313942
48,Barendrecht,114830.0,120398.0,138622.0,134797.0,170270.0,198794.0,215732.0,232235.0,246019.0,255428.0,255391.0,283736.0,275094.0,288588.0,273885.0,266941.0,276421.0,262311.0,258369.0,251425.0,257575.0,269159.0,294183.0,336402.0,352460.0,376908.0,433258.0,51.85193795,4.52938352520747
49,Barneveld,128470.0,147772.0,155434.0,182297.0,220087.0,246961.0,267905.0,268552.0,264072.0,280777.0,292103.0,306034.0,322137.0,322785.0,311501.0,309841.0,290602.0,283522.0,258912.0,258411.0,266307.0,282871.0,312523.0,329980.0,359070.0,389922.0,451336.0,52.17150665,5.645439299954028
50,Bathmen,126772.0,141253.0,141423.0,145052.0,186586.0,185860.0,257334.0,302499.0,261160.0,255349.0,,,,,,,,,,,,,,,,,,52.2500503,6.2844391
51,Bedum,79343.0,73018.0,87111.0,88532.0,101282.0,121041.0,144062.0,156401.0,172072.0,162263.0,185464.0,198602.0,194998.0,188657.0,179730.0,188139.0,186653.0,179928.0,186492.0,174753.0,178920.0,183710.0,198676.0,214213.0,,,,53.3003141,6.5961866
52,Beek (L.),92607.0,105391.0,120811.0,125891.0,153270.0,161134.0,165641.0,164110.0,184807.0,183769.0,185888.0,194649.0,213428.0,202607.0,188678.0,181157.0,189860.0,185433.0,176182.0,185729.0,187159.0,207205.0,195019.0,226580.0,231409.0,255888.0,297820.0,50.926876899999996,5.810685055558121
53,Beek en Donk,99289.0,110904.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5337801,5.6329857
54,Beekdaelen,,,,,,,,,,,,,,,,,,,,,,,,,248905.0,274875.0,313156.0,50.93449595,5.88869051100548
55,Beemster,122907.0,134806.0,150486.0,176991.0,232898.0,232456.0,254571.0,292357.0,253488.0,336304.0,297048.0,313337.0,349040.0,304381.0,323214.0,308549.0,326688.0,243837.0,205265.0,259131.0,278733.0,283115.0,318243.0,371819.0,437693.0,463775.0,502018.0,52.56254635,4.919882595059434
56,Beesel,93275.0,104343.0,102795.0,120309.0,135072.0,154327.0,163815.0,156247.0,180427.0,205644.0,204479.0,204799.0,217854.0,213018.0,190880.0,187712.0,209554.0,213846.0,195273.0,189929.0,198705.0,196107.0,221375.0,213909.0,233443.0,267983.0,290029.0,51.26998845,6.073401860697201
57,Beilen,111297.0,102713.0,103423.0,,,,,,,,,,,,,,,,,,,,,,,,,52.8610999,6.5124319
58,Belfeld,101723.0,97539.0,104068.0,128597.0,113448.0,143569.0,,,,,,,,,,,,,,,,,,,,,,51.310963,6.1128183
60,Bemmel,114534.0,116445.0,122944.0,137019.0,187255.0,187761.0,205978.0,217065.0,,,,,,,,,,,,,,,,,,,,51.8915382,5.8984809
61,Bennebroek,138013.0,168992.0,187051.0,238451.0,219832.0,302031.0,355026.0,342372.0,336603.0,386802.0,348098.0,389177.0,420517.0,438022.0,,,,,,,,,,,,,,52.322419,4.5937366
62,Berg en Dal,,,,,,,,,,,,,,,,,,,,,,241713.0,265704.0,287270.0,292830.0,340206.0,377603.0,51.811356599999996,5.917025692367215
63,Bergambacht,115432.0,130006.0,154570.0,168419.0,172398.0,207115.0,223536.0,257954.0,237562.0,248040.0,279085.0,285887.0,311895.0,303799.0,308329.0,265671.0,273948.0,289502.0,224099.0,260507.0,,,,,,,,51.9314474,4.7827247
64,Bergeijk,,,,183351.0,212875.0,235192.0,261012.0,254727.0,270826.0,281085.0,320236.0,318088.0,350495.0,330046.0,279658.0,293499.0,322647.0,278638.0,207717.0,273849.0,265178.0,275527.0,299913.0,328777.0,335601.0,373967.0,402488.0,51.3211501,5.3569427
65,Bergen (L.),96960.0,106392.0,114319.0,139256.0,155179.0,199084.0,178302.0,196084.0,186870.0,209835.0,228350.0,246969.0,238177.0,259422.0,230157.0,205668.0,205709.0,220671.0,175089.0,188050.0,188826.0,213867.0,221542.0,235110.0,240030.0,275066.0,301211.0,51.58964675,6.078663459935446
66,Bergen (NH.),185870.0,195648.0,205471.0,246732.0,305633.0,370091.0,356976.0,358303.0,331731.0,364122.0,370721.0,416536.0,447451.0,443170.0,457041.0,412441.0,437968.0,361791.0,341270.0,334932.0,356475.0,403609.0,463173.0,476861.0,488406.0,549858.0,659453.0,52.6702278,4.7011616
67,Bergen op Zoom,84558.0,89720.0,104208.0,112199.0,126100.0,139511.0,168464.0,183442.0,181511.0,201106.0,212656.0,225049.0,230576.0,227246.0,212761.0,222397.0,215816.0,208454.0,195589.0,200113.0,207778.0,223748.0,217722.0,233913.0,255679.0,278752.0,307371.0,51.4944756,4.2871541
68,Bergeyk,110449.0,132137.0,165003.0,184307.0,,,,,,,,,,,,,,,,,,,,,,,,51.2670092,5.3963971
69,Bergh,102922.0,112347.0,117995.0,131644.0,158819.0,177047.0,196947.0,206643.0,228080.0,223310.0,,,,,,,,,,,,,,,,,,51.90613865,6.230300463240144
70,Bergschenhoek,106392.0,134314.0,143680.0,154417.0,188695.0,210651.0,255696.0,250407.0,285216.0,319159.0,298224.0,323524.0,,,,,,,,,,,,,,,,51.98934,4.5016775
71,Berkel en Rodenrijs,118377.0,127662.0,144208.0,138410.0,176287.0,195319.0,241945.0,237251.0,237631.0,239908.0,245242.0,269881.0,,,,,,,,,,,,,,,,51.9911323,4.4739774
72,Berkel-Enschot,119414.0,130652.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5854521,5.1422542
73,Berkelland,,,,,,,,,,,225124.0,230894.0,253552.0,245279.0,230352.0,223086.0,225848.0,218059.0,197200.0,191881.0,209095.0,221494.0,234473.0,249886.0,265879.0,302442.0,339725.0,52.10152,6.618404626883939
74,Berlicum,139667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6783377,5.3991284
